"","Site.ID","Season","sortchem","Watershed","Site","Sample.Date","Year","Latitude..degrees.","Longitude..degrees.","Area..km2.","Temperature..C.","Specific.Conductance..uS.cm.","pH","Dissolved.Oxygen..percent.saturation.","Turbidity..NTU.","DOC..uM.","TDN..uM.","Nitrate..uM.","Ammonium..uM.","DON..uM.","SRP..uM.","PP..uM.","TDP..uM.","SUVA254..L.mg.C.m.","Spectral.Ratio","abs254..Absorbance.","Acetate..ppm.","Formate..ppm.","Nitrite..ppm.","Sulfate..ppm.","Phosphate..ppm.","Al..ppm.","As..ppm.","B..ppm.","Ba..ppm.","Br..ppm.","Ca..ppm.","Ca.Na.ratio","Ca.Ba.ratio","Cd..ppm.","Cl..ppm.","Co..ppm.","Cr..ppm.","Cu..ppm.","F..ppm.","Fe..ppm.","K..ppm.","Mg..ppm.","Mn..ppm.","Mo..ppm.","Na..ppm.","Ni..ppm.","Li..ppm.","P..ppm.","Pb..ppm.","S..ppm.","Se..ppm.","Si..ppm.","Sr..ppm.","Ti..ppm.","V..ppm.","Zn..ppm.","area_km2","NDVI2012_MEAN","NDVI2012_STD","NDVI2012_RANGE","SL_60_MEAN","SL_60_STD","SL_60_RANGE","SP_1000_MEAN","SP_240_MEAN","Alpine_Non.Carbonate_Barrens","Alpine_Non.Carbonate_Dryas_Dwarf_Shrub","Lowland_Low_Birch.Willow_Shrub","Lowland_Water","Lowland_Wet_Sedge_Tundra","Upland_Birch.Aspen.Spruce_Forest","Upland_Dryas_Dwarf_Shrub_Tundra","Upland_Low_Birch.Willow_Shrub_Tundra","Upland_Moist_Sedge_Shrub","Upland_Shrubby_Tussock_Tundra","Cloud_Ice_Snow","Riverine_Water_Shrub_Wet_Sedge_Barrens"
"11","KUP10.2","Late","2017-4522","KUP",10.2,"2017-08-27",2017,68.57639,-149.32201,4.124675,2.8,49.6,7.24,99.3,1.3,437.6117318,13.17364881,1.934530966,0.395248304,10.84386954,0.065560083,-7777,0.13371972,3.429950596,1.12103,18.0279,0.139,0.1537,-7777,66.0622,0.0705,0.0246,0.0052,0.0033,0.0248,-7777,7.52,11.91192777,303.2258065,6e-04,0.7852,-7777,3e-04,0.0024,1.3005,0.0999,0.0584,1.553,0.0555,0.0035,0.6313,2e-04,0.3123,0.0045,0.0015,2.143,0.0087,1.766,0.0179,6e-04,0.0021,2e-04,4.124675,5767.621374,590.7383552,3709,3.431900143,2.309996949,17.31217384,65.54115583,0.019929463,0,0,0,7.926829268,2.221254355,0,0,43.88066202,7.948606272,38.02264808,0,0
"12","KUP10.2","Late","","KUP",10.2,"2016-08-26",2016,68.57639,-149.32201,4.124675,8.4,49.2,6.44,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,2.685,3e-04,2e-04,0.0025,-7777,0.0091,0.023922187,3.64,0.0803,-7777,0.176,0.7703,0.0024,-7777,0.0034,0.5571,0.0021,0.0135,0.0053,0.3804,1e-04,-7777,0.6405,0.0094,0.0016,0.0039,0.0073,-7777,-7777,-7777,-7777,4.124675,5767.621374,590.7383552,3709,3.431900143,2.309996949,17.31217384,65.54115583,0.019929463,0,0,0,7.926829268,2.221254355,0,0,43.88066202,7.948606272,38.02264808,0,0
"13","KUP10.2","Late","2018-4522","KUP",10.2,"2018-08-24",2018,68.57639,-149.32201,4.124675,-7777,-7777,-7777,-7777,-7777,396.4357055,13.89809447,2.491,-7777,11.40709447,0.045,0.025906639,0.082452299,-7777,-7777,-7777,1.1344,0.0898,0.0261,62.7454,0.0276,-7777,-7777,-7777,-7777,0.0049,-7777,-7777,-7777,-7777,0.4342,-7777,-7777,-7777,1.5038,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0431,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,4.124675,5767.621374,590.7383552,3709,3.431900143,2.309996949,17.31217384,65.54115583,0.019929463,0,0,0,7.926829268,2.221254355,0,0,43.88066202,7.948606272,38.02264808,0,0
"14","KUP10.2","Early","2018-4422","KUP",10.2,"2018-06-06",2018,68.57639,-149.32201,4.124675,-7777,-7777,-7777,-7777,-7777,623.0709009,14.64747774,0.332,-7777,14.31547774,0.054,0.235806244,0.417650823,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0222,-7777,0.0024,0.0107,-7777,0.9437,4.76135217,88.19626168,-7777,-7777,-7777,-7777,0.0033,-7777,0.1764,0.158,0.2966,0.0203,-7777,0.1982,0.0028,-7777,0.0191,-7777,0.0812,-7777,0.2809,0.0022,-7777,9e-04,0.0015,4.124675,5767.621374,590.7383552,3709,3.431900143,2.309996949,17.31217384,65.54115583,0.019929463,0,0,0,7.926829268,2.221254355,0,0,43.88066202,7.948606272,38.02264808,0,0
"15","KUP10.2","Early","2017-4422","KUP",10.2,"2017-06-05",2017,68.57639,-149.32201,4.124675,3.9,17.6,6.8,98.2,2.16,484.7063954,14.94173373,1.186011726,0.436003957,13.31971805,0.144155642,-7777,0.431035679,4.507062593,1.01407,26.2386,0.0911,-7777,0.0143,13.0806,-7777,0.0141,0.0075,6e-04,0.0125,0.0349,2.121,6.198129749,169.68,5e-04,1.4451,8e-04,0.001,0.01,0.6747,0.3791,0.1068,0.5938,0.014,0.0225,0.3422,7e-04,0.3337,0.0124,0.0019,0.4863,0.005,0.514,0.0065,1e-04,0.0044,0.009,4.124675,5767.621374,590.7383552,3709,3.431900143,2.309996949,17.31217384,65.54115583,0.019929463,0,0,0,7.926829268,2.221254355,0,0,43.88066202,7.948606272,38.02264808,0,0
"16","KUP11.1","Late","2016-3110","KUP",11.1,"2016-08-26",2016,68.575,-149.35253,90.553125,7.7,14.5,6.73,-7777,-7777,459.3006927,7.515436199,0.827474557,0.244549449,6.443412193,0.133313507,0.099317793,0.120528996,3.522797215,0.686305398,19.43359126,-7777,-7777,-7777,8.592190619,-7777,7.564,5e-04,3e-04,0.001,-7777,8e-04,0.000356189,0.8,0.1102,1.049365303,0.0935,2.052,0.0277,-7777,1e-04,1.671,0.0016,0.0088,0.0023,2.246,0.0197,-7777,1.646,0.0259,0.0015,0.0032,-7777,-7777,-7777,-7777,-7777,81.58175,4856.567425,1096.541578,14556,8.725933551,6.898348773,45.48372269,87.21930544,0.091401079,0.322324267,10.01081773,0.716398799,3.754194631,3.129415401,0,0,25.25388555,17.59206111,35.36625751,3.854645002,0
"17","KUP11.1","Late","2018-4523","KUP",11.1,"2018-08-24",2018,68.575,-149.35253,90.553125,-7777,-7777,-7777,-7777,-7777,289.1373349,12.19288836,5.483,-7777,6.709888358,0.072,0.022516704,0.124478082,-7777,-7777,-7777,1.2336,0.0687,0.0775,202.8233,0.0238,-7777,-7777,-7777,-7777,0.0052,-7777,-7777,-7777,-7777,3.3387,-7777,-7777,-7777,1.8377,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0414,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,81.58175,4856.567425,1096.541578,14556,8.725933551,6.898348773,45.48372269,87.21930544,0.091401079,0.322324267,10.01081773,0.716398799,3.754194631,3.129415401,0,0,25.25388555,17.59206111,35.36625751,3.854645002,0
"18","KUP11.1","Early","2018-4423","KUP",11.1,"2018-06-06",2018,68.575,-149.35253,90.553125,-7777,-7777,-7777,-7777,-7777,346.0631984,11.55995819,4.183,-7777,7.376958194,0.049,0.139593756,0.231925122,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0384,-7777,0.0043,0.0249,-7777,5.166,5.206086869,207.4698795,4e-04,-7777,0.0012,-7777,0.0038,-7777,0.0394,0.448,1.204,0.0069,-7777,0.9923,-7777,-7777,-7777,-7777,2.859,-7777,0.7249,0.0218,0.0013,0.0043,-7777,81.58175,4856.567425,1096.541578,14556,8.725933551,6.898348773,45.48372269,87.21930544,0.091401079,0.322324267,10.01081773,0.716398799,3.754194631,3.129415401,0,0,25.25388555,17.59206111,35.36625751,3.854645002,0
"19","KUP11.1","Early","","KUP",11.1,"2017-06-05",2017,68.575,-149.35253,90.553125,0,0,0,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,81.58175,4856.567425,1096.541578,14556,8.725933551,6.898348773,45.48372269,87.21930544,0.091401079,0.322324267,10.01081773,0.716398799,3.754194631,3.129415401,0,0,25.25388555,17.59206111,35.36625751,3.854645002,0
"20","KUP11.2","Late","2016-3111","KUP",11.2,"2016-08-26",2016,68.57415,-149.35103,80.7604,8.2,87.1,6.35,-7777,-7777,289.9998528,7.215365742,2.957700147,0.149630799,4.108034796,0.063708014,0.097780333,0.06996523,3.205286703,0.799507729,11.16433807,-7777,-7777,-7777,152.311003,-7777,6.798,7e-04,0.0011,1e-04,-7777,0.0099,0.003124014,99,0.031,1.303244006,0.3564,1.463,0.0145,-7777,0.0042,0.9619,8e-04,0.0076,0.0015,3.169,0.0011,-7777,0.7519,0.0333,4e-04,0.0067,0.008,-7777,-7777,-7777,-7777,80.7604,4853.252594,1101.233571,14556,8.763968603,6.926032771,45.48372269,88.6678844,0.087375564,0.325627558,10.11452723,0.723740702,3.792668919,3.161486735,0,0,25.21160215,17.77458098,35.00161699,3.89414874,0
"21","KUP11.2","Late","2018-4524","KUP",11.2,"2018-08-24",2018,68.57415,-149.35103,80.7604,-7777,-7777,-7777,-7777,-7777,283.1386513,12.48553349,5.433,-7777,7.052533487,0.067,0.281623344,0.064635618,-7777,-7777,-7777,1.0967,0.0988,0.0179,201.868,0.018,-7777,-7777,-7777,-7777,0.0045,-7777,-7777,-7777,-7777,2.9074,-7777,-7777,-7777,1.6924,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0398,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,80.7604,4853.252594,1101.233571,14556,8.763968603,6.926032771,45.48372269,88.6678844,0.087375564,0.325627558,10.11452723,0.723740702,3.792668919,3.161486735,0,0,25.21160215,17.77458098,35.00161699,3.89414874,0
"22","KUP11.2","Early","2018-4424","KUP",11.2,"2018-06-06",2018,68.57415,-149.35103,80.7604,-7777,-7777,-7777,-7777,-7777,350.1307989,11.99854779,4.113,-7777,7.885547794,0.047,0.17761154,0.261468171,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0265,-7777,0.0029,0.0239,-7777,4.899,5.237891586,204.9790795,-7777,-7777,-7777,0.0011,-7777,-7777,0.0394,0.3949,1.16,0.0065,-7777,0.9353,-7777,-7777,0.0133,-7777,2.618,-7777,0.7108,0.0204,-7777,0.0031,-7777,80.7604,4853.252594,1101.233571,14556,8.763968603,6.926032771,45.48372269,88.6678844,0.087375564,0.325627558,10.11452723,0.723740702,3.792668919,3.161486735,0,0,25.21160215,17.77458098,35.00161699,3.89414874,0
"23","KUP11.2","Late","2017-4524","KUP",11.2,"2017-08-27",2017,68.57415,-149.35103,80.7604,3.8,71.6,6.98,93.6,0.51,296.4661967,11.71952979,4.211693941,0.178060112,7.329775737,0.016485913,-7777,0.123036364,3.31378085,1.0597,11.7996,0.1824,0.2234,-7777,387.3793,0.2771,0.0136,0.0169,0.0054,0.0725,-7777,14.72,5.892714171,203.0344828,2e-04,1.8508,8e-04,4e-04,0.0031,1.6631,0.0177,0.309,4.026,0.0044,7e-04,2.498,0.001,0.3048,0.0086,1e-04,12.21,0.0037,1.822,0.0648,3e-04,0.0087,9e-04,80.7604,4853.252594,1101.233571,14556,8.763968603,6.926032771,45.48372269,88.6678844,0.087375564,0.325627558,10.11452723,0.723740702,3.792668919,3.161486735,0,0,25.21160215,17.77458098,35.00161699,3.89414874,0
"24","KUP11.2","Early","2017-4424","KUP",11.2,"2017-06-05",2017,68.57415,-149.35103,80.7604,4.7,42.5,6.62,99.5,0.97,347.140925,10.71572335,2.751489714,0.323597236,7.6406364,0.084493165,-7777,0.216631705,3.868273299,1.0315,16.1284,0.3382,0.1336,0.1287,73.5523,-7777,0.0163,9e-04,0.0011,0.027,-7777,4.845,4.979445015,179.4444444,1e-04,4.0403,0.0018,2e-04,0.01,1.128,0.0249,0.3303,1.18,0.0037,0.0091,0.973,6e-04,0.3344,0.0143,0.0081,2.534,0.0012,0.7789,0.0223,3e-04,0.0054,0.0066,80.7604,4853.252594,1101.233571,14556,8.763968603,6.926032771,45.48372269,88.6678844,0.087375564,0.325627558,10.11452723,0.723740702,3.792668919,3.161486735,0,0,25.21160215,17.77458098,35.00161699,3.89414874,0
"25","KUP11.3","Late","2018-4525","KUP",11.3,"2018-08-24",2018,68.57335,-149.35195,6,-7777,-7777,-7777,-7777,-7777,377.0427012,8.687952506,0.6,-7777,8.087952506,0.048,0.027224529,0.11297566,-7777,-7777,-7777,3.1743,0.1642,0.021,15.4023,0.0116,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.8517,-7777,-7777,-7777,1.1079,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0385,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,6.787125,4881.057552,547.8011185,4451,4.840114872,3.066822624,28.72342552,73.25172623,-0.160847466,0,0.451347405,0.106199389,1.208018054,3.451480154,0,0,18.12027081,12.88995088,63.77273331,0,0
"26","KUP11.3","Late","2016-3112","KUP",11.3,"2016-08-26",2016,68.57335,-149.35195,6,8.1,60.7,6.46,-7777,-7777,349.8049339,6.453142977,1.85957485,0.330098448,4.263469679,0.109856957,0.094288551,0.06830524,3.201372504,0.687361954,13.45025322,-7777,-7777,-7777,79.32260479,-7777,17.1,1e-04,2e-04,6e-04,-7777,0.0011,9.95475e-05,1.833333333,0.0253,1.029619182,0.3144,3.853,0.0089,-7777,3e-04,2.396,3e-04,0.0223,0.0018,11.05,0.0081,-7777,1.771,0.0851,0.0011,0.0097,0.0011,-7777,-7777,-7777,-7777,6.787125,4881.057552,547.8011185,4451,4.840114872,3.066822624,28.72342552,73.25172623,-0.160847466,0,0.451347405,0.106199389,1.208018054,3.451480154,0,0,18.12027081,12.88995088,63.77273331,0,0
"27","KUP11.3","Early","2017-4425","KUP",11.3,"2017-06-05",2017,68.57335,-149.35195,6,3.1,6.3,5.85,98.9,1.05,483.3613987,11.87135367,0.593906422,0.280606595,10.99684065,0.110929316,-7777,0.36492628,3.610708536,1.11648,20.962,0.9251,0.16,-7777,2.7256,-7777,0.0491,2e-04,0.003,0.0069,-7777,0.6118,3.884444444,88.66666667,4e-04,3.4438,0.0015,2e-04,0.0106,0.6329,0.0556,0.1078,0.2406,0.0265,0.003,0.1575,0.0015,0.3325,0.0125,0.0058,0.1287,0.002,0.2292,0.0022,0.0011,0.0029,0.0063,6.787125,4881.057552,547.8011185,4451,4.840114872,3.066822624,28.72342552,73.25172623,-0.160847466,0,0.451347405,0.106199389,1.208018054,3.451480154,0,0,18.12027081,12.88995088,63.77273331,0,0
"28","KUP11.3","Late","2017-4525","KUP",11.3,"2017-08-27",2017,68.57335,-149.35195,6,2.9,11.2,6.25,94.7,0.64,448.1145736,10.30226122,0.650110617,0.205142901,9.447007702,0.134899092,-7777,0.186746416,3.682994233,0.97964,19.8225,-7777,0.2081,-7777,13.07,0.08,0.0479,0.0023,0.0046,0.0121,-7777,1.17,2.41187384,96.69421488,5e-04,0.7934,5e-04,9e-04,0.0016,1.1248,0.051,0.0312,0.4846,8e-04,0.0014,0.4851,0.0033,0.3047,0.0082,0.0017,0.4364,0.0048,1.505,0.0043,9e-04,8e-04,0.0024,6.787125,4881.057552,547.8011185,4451,4.840114872,3.066822624,28.72342552,73.25172623,-0.160847466,0,0.451347405,0.106199389,1.208018054,3.451480154,0,0,18.12027081,12.88995088,63.77273331,0,0
"29","KUP11.3","Early","2018-4425","KUP",11.3,"2018-06-06",2018,68.57335,-149.35195,6,-7777,-7777,-7777,-7777,-7777,453.0328741,8.464876762,0.319,-7777,8.145876762,0.05,0.296900723,0.267455659,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,0.0498,0.0094,-7777,0.0115,-7777,0.5603,4.159613957,48.72173913,-7777,-7777,-7777,-7777,-7777,-7777,0.0673,0.2101,0.1917,0.0234,0.0025,0.1347,-7777,-7777,0.0121,-7777,0.1057,-7777,0.1705,0.0015,-7777,0.0017,-7777,6.787125,4881.057552,547.8011185,4451,4.840114872,3.066822624,28.72342552,73.25172623,-0.160847466,0,0.451347405,0.106199389,1.208018054,3.451480154,0,0,18.12027081,12.88995088,63.77273331,0,0
"30","KUP12.1","Late","2016-3132","KUP",12.1,"2016-08-26",2016,68.59191,-149.35747,98.6175,8.9,60.5,7.16,-7777,-7777,550.7290219,18.13325773,3.890052642,1.380314244,12.86289084,0.072784241,0.192157093,0.186836875,3.747735593,0.806201334,24.78992575,-7777,-7777,-7777,15.9493513,-7777,5.297,2e-04,0.0019,0.0014,-7777,0.0087,0.002573203,6.214285714,0.021,3.33145275,0.3091,1.286,0.007,-7777,0.0536,0.9745,0.0014,0.0124,0.0083,3.381,0.0103,-7777,0.79,0.0318,0.0012,0.005,0.0075,-7777,-7777,-7777,-7777,88.75065,4870.063742,1064.975449,14556,8.343893454,6.769371335,45.48372269,79.33412762,0.083811029,0.296416607,9.206171962,0.749162522,3.452441377,3.045376104,0,0,25.10811085,16.78306771,37.81443508,3.544817785,0
